ST,BT,AD,JS,Annual precipitation,Average annual temp range,Freezing index,Compressive strength,Elastic modulus,Density of concrete,Modulus of rupture,Tensile strength,Age,LC for 100 m length
10,6,1035,4.552238806,1265.400024,16.29999924,74,4342,4207644,141.8499985,740.4,656,17,159.4426189
10,6,1066,4.552238806,1418.699951,16.39999962,38,4342,4207644,141.8499985,740.4,656,18,126.0655738
10,6,1169,4.552238806,1034.300049,16.79999924,62,4342,4207644,141.8499985,740.4,656,21,143.7704881
10,6,2563,4.552238806,1395.199951,16.89999962,26,4342,4207644,141.8499985,740.4,656,22,148.9836077
10,6,1129,4.552238806,1351.099976,16.70000076,16,4342,4207644,141.8499985,740.4,656,23,149.1147501
10,6,1308,4.552238806,1078.900024,16.60000038,27,4342,4207644,141.8499985,740.4,656,24,149.3770512
10,6,742,4.552238806,1523,17.10000038,26,4342,4207644,141.8499985,740.4,656,25,150.7540964
10,6,1210,4.552238806,942.7000122,17.5,10,4342,4207644,141.8499985,740.4,656,26,146.6885265
10,6,1275,4.552238806,1208.300049,17.5,16,4342,4207644,141.8499985,740.4,656,27,149.6393462
10,6,1252,4.552238806,1345.699951,17.5,12,4342,4207644,141.8499985,740.4,656,28,136.5901599
10,6,1238,4.552238806,1596.800049,16.39999962,18,4342,4207644,141.8499985,740.4,656,29,132.9508217
10,6,1359,4.552238806,1102.099976,18.20000076,9,4342,4207644,141.8499985,740.4,656,33,117.1475395
9.8,6.4,1035,4.354285714,1265.400024,16.29999924,74,4657,4207644,140.9500046,740.4,557,17,109.2519685
9.8,6.4,1359,4.354285714,1102.099976,18.20000076,9,4657,4207644,140.9500046,740.4,557,33,45.80052537
10.2,6,1359,4.621212121,1102.099976,18.20000076,9,5556,3800000,140.9500046,740.4,705,33,107.4754083
8.3,6,4183,4.618181818,290.2999878,17.39999962,0,4175,5235000,146.5,740.4,535,4,1.902887123
8.3,6,4431,4.618181818,150.3000031,17.5,0,4175,5235000,146.5,740.4,535,7,3.937007718
8.3,6,4960,4.618181818,157.3999939,17.5,0,4175,5235000,146.5,740.4,535,8,11.54855637
8.3,6,4754,4.618181818,260.1000061,17.5,0,4175,5235000,146.5,740.4,535,9,13.97637777
8.3,6,4785,4.618181818,429.5,16.70000076,0,4175,5235000,146.5,740.4,535,10,16.60104999
8.3,6,4770,4.618181818,261.2000122,17.60000038,0,4175,5235000,146.5,740.4,535,12,9.514435539
8.3,6,4790,4.618181818,308.6000061,18.29999924,0,4175,5235000,146.5,740.4,535,14,19.61942263
8.3,6,5068,4.618181818,179.1999969,17.70000076,0,4175,5235000,146.5,740.4,535,15,27.95275584
8,6,4183,4.618181818,290.2999878,17.39999962,0,5498,5125000,148.1999969,740.4,518,4,1.50918632
8,6,4431,4.618181818,150.3000031,17.5,0,5498,5125000,148.1999969,740.4,518,7,6.955380515
8,6,4960,4.618181818,157.3999939,17.5,0,5498,5125000,148.1999969,740.4,518,8,7.086613985
8,6,4754,4.618181818,260.1000061,17.5,0,5498,5125000,148.1999969,740.4,518,9,7.874015904
8,6,4785,4.618181818,429.5,16.70000076,0,5498,5125000,148.1999969,740.4,518,10,8.530183883
